name,uri,id
2020 06 N2MG@@O,spotify:playlist:7HirIHPB7NPmvnFiIwnwaR,7HirIHPB7NPmvnFiIwnwaR
2020 05 N2MG@O,spotify:playlist:2ZLHsETXqlpSsJujLRwPuo,2ZLHsETXqlpSsJujLRwPuo
2020 04 N2M G@O,spotify:playlist:6RFcqh5APsKzUK1GKCuRnT,6RFcqh5APsKzUK1GKCuRnT
2020 03 N2MG@O,spotify:playlist:06IymbnqOxlNchDojTeh62,06IymbnqOxlNchDojTeh62
2020 02 N2MG@O,spotify:playlist:2z3CCtWoLCv0n5J7U7zuOK,2z3CCtWoLCv0n5J7U7zuOK
2020 01 N2MG@O,spotify:playlist:20G6AAgXi9glrDnQEqlnaI,20G6AAgXi9glrDnQEqlnaI
2019 12 N2MG@O,spotify:playlist:6AkHoHZcxhBcDIO2z7fBA2,6AkHoHZcxhBcDIO2z7fBA2
2019 11 N2MG@O,spotify:playlist:2pLwJ74cMplTkaQwR1aFwR,2pLwJ74cMplTkaQwR1aFwR
2019 10 N2MG@O,spotify:playlist:25mHKCIM3cw2glD5W4lTZ5,25mHKCIM3cw2glD5W4lTZ5
2019 09 N2MG@O,spotify:playlist:5rtHLr71F8kX3kU7d02GYw,5rtHLr71F8kX3kU7d02GYw
2019 08 N2M G@O,spotify:playlist:6fobuNvWidUWloqvc0pn1K,6fobuNvWidUWloqvc0pn1K
2019 07 N2MG@O,spotify:playlist:7vviIdgVz3pvjok6i5Fw0c,7vviIdgVz3pvjok6i5Fw0c
2019 06 N2MG@O,spotify:playlist:1kZJUwf0cJ5yI8Fgnoh9Or,1kZJUwf0cJ5yI8Fgnoh9Or
2019 05 N2MG@O,spotify:playlist:34N14sB6eoIhiCfQNaQcyk,34N14sB6eoIhiCfQNaQcyk
2019 04 N2MG@O,spotify:playlist:4bOINe9YUS6yIgTpaJRfHT,4bOINe9YUS6yIgTpaJRfHT
2019 03 N2MG@O,spotify:playlist:1HvMA5XTuQJRkA7blDq389,1HvMA5XTuQJRkA7blDq389
2019 02 N2MG@O,spotify:playlist:3RPtlTODJ8bs9t9WjjPC2l,3RPtlTODJ8bs9t9WjjPC2l
2019 01 N2MG@O,spotify:playlist:0csY8G9TgEhuZSTGO3BMuU,0csY8G9TgEhuZSTGO3BMuU
2018 12 N2MG@O,spotify:playlist:7mRsdNGC0Dmj9DIrCnx2DN,7mRsdNGC0Dmj9DIrCnx2DN
2018 11 N2MG@O,spotify:playlist:7uFNPLAfmpP9y0KZhoXS3r,7uFNPLAfmpP9y0KZhoXS3r
2018 10 N2MG@O,spotify:playlist:3V9BQcUwZUQlaLMi2vkEaS,3V9BQcUwZUQlaLMi2vkEaS
2018 09 N2MG@O,spotify:playlist:7xWgXtjmfFaVqUyMhyV2T4,7xWgXtjmfFaVqUyMhyV2T4
2018 08 N2MG@O,spotify:playlist:0NCv29M30aPxc97KbitMMA,0NCv29M30aPxc97KbitMMA
2018 07 N2MG@O,spotify:playlist:6zJaPZnU3DurPNy14ZZaJk,6zJaPZnU3DurPNy14ZZaJk
2018 06 N2MG@O,spotify:playlist:4GbKTlYJIJCrs66Lj2LwgF,4GbKTlYJIJCrs66Lj2LwgF
2018 05 N2MG@O,spotify:playlist:6XZfIjJm9gQDrmvo428nSN,6XZfIjJm9gQDrmvo428nSN
2018 04 N2MG@O,spotify:playlist:4lrF9j2ZU4wHT1o7RIuLRL,4lrF9j2ZU4wHT1o7RIuLRL
2018 03 N2MG@O,spotify:playlist:5M4678H4Hj29c1GsLczs7Y,5M4678H4Hj29c1GsLczs7Y
