name,uri,id,track_name,track_uri,track_id,track_artist_name,track_artist_id,track_release_date
2020 06 N2MG@@O,spotify:playlist:7HirIHPB7NPmvnFiIwnwaR,7HirIHPB7NPmvnFiIwnwaR,Chromatica I,spotify:track:3CGZ7wfk4skmuyQgua1C1K,3CGZ7wfk4skmuyQgua1C1K,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,2020-05-29
2020 06 N2MG@@O,spotify:playlist:7HirIHPB7NPmvnFiIwnwaR,7HirIHPB7NPmvnFiIwnwaR,Intro,spotify:track:0lOFtFDflbbVY8Fbhy4K85,0lOFtFDflbbVY8Fbhy4K85,Kamaiyah,3XVpDdKav6C6zwlDXPhMEO,2020-02-21
2020 06 N2MG@@O,spotify:playlist:7HirIHPB7NPmvnFiIwnwaR,7HirIHPB7NPmvnFiIwnwaR,The 1975,spotify:track:0YtmwGMUPaBIEuJs0FNiDm,0YtmwGMUPaBIEuJs0FNiDm,The 1975,3mIj9lX2MWuHmhNCA7LSCW,2020-05-22
2020 06 N2MG@@O,spotify:playlist:7HirIHPB7NPmvnFiIwnwaR,7HirIHPB7NPmvnFiIwnwaR,Sleep On The Wing,spotify:track:6A6ELFKSmU4Sgnfem0SyRd,6A6ELFKSmU4Sgnfem0SyRd,Bibio,0qzzGu8qpbXYpzgV52wOFT,2020-06-12
2020 06 N2MG@@O,spotify:playlist:7HirIHPB7NPmvnFiIwnwaR,7HirIHPB7NPmvnFiIwnwaR,yankee and the brave (ep. 4),spotify:track:1EjzcBTVLV7ATtdsQwyV31,1EjzcBTVLV7ATtdsQwyV31,Run The Jewels,4RnBFZRiMLRyZy0AzzTg2C,2020-06-03
2020 06 N2MG@@O,spotify:playlist:7HirIHPB7NPmvnFiIwnwaR,7HirIHPB7NPmvnFiIwnwaR,Wait a Minute!,spotify:track:0y60itmpH0aPKsFiGxmtnh,0y60itmpH0aPKsFiGxmtnh,WILLOW,3rWZHrfrsPBxVy692yAIxF,2015-01-11
2020 06 N2MG@@O,spotify:playlist:7HirIHPB7NPmvnFiIwnwaR,7HirIHPB7NPmvnFiIwnwaR,Edge,spotify:track:4pCvnGkf7jveRMKHZosxxB,4pCvnGkf7jveRMKHZosxxB,Rezz,4aKdmOXdUKX07HVd3sGgzw,2016-01-22
2020 05 N2MG@O,spotify:playlist:2ZLHsETXqlpSsJujLRwPuo,2ZLHsETXqlpSsJujLRwPuo,Vanish,spotify:track:6jjRSZS7C8dI1v7AWbrAQW,6jjRSZS7C8dI1v7AWbrAQW,Nicolas Jaar,5a0etAzO5V26gvlbmHzT9W,2020-03-27
2020 05 N2MG@O,spotify:playlist:2ZLHsETXqlpSsJujLRwPuo,2ZLHsETXqlpSsJujLRwPuo,Rose Potion,spotify:track:2Y4euifs5eS6SZjFdnTMs3,2Y4euifs5eS6SZjFdnTMs3,Johanna Warren,2K5c4N7j15hUwrvv0ejlvV,2020-05-01
2020 05 N2MG@O,spotify:playlist:2ZLHsETXqlpSsJujLRwPuo,2ZLHsETXqlpSsJujLRwPuo,Born Like,spotify:track:2Wv6JOF3gS3cbWWSdbjDBZ,2Wv6JOF3gS3cbWWSdbjDBZ,Hazel English,1nEGjL7aMVdNQzsfQPKdGr,2020-04-24
